Issue Type,Summary,BUG Description,Linked issue,Epic Link,Labels,Priority,Status,Comments
Bug,[Suggestion] Draft produs have corrupt image display.,"Draft produs have corrupt image display. 
Please see screenshot.",,Product Lifecycle - PIM,,Low,To Do,21.01.2016 Geani: We should have an default image for all products that are in draft mode. An place holder image untill the produt is published.
Bug,Name filter doesn't work,"Product tab - Name filter doesn't work unless selecting product from the list.
26/01/2016 Geani: Please see comments",SAB-201,Search Products - PIM,,Medium,To Do,"04/01/2016 Geani: The filter is case senzitive ""nokia"" doesn't generate drop down list but ""Nokia"" does.
26/01/2016: Geani Search now works but previous note still valid. "" The filter is case senzitive ""nokia"" doesn't generate drop down list but ""Nokia"" does.""
25/02/2016 Geani: Name search only display PUBLISHED prodcuts"
Bug,[Question] NullPointerException when creating new product,NullPointerException when creating new product com.brandpath.pim.web.controller.product.version.AssetVersion.initNewAsset(AssetVersion.java:383) com.brandpath.pim.web.controller.product.version.AssetVersion.showDimensionMin(AssetVersion.java:198) [:],,Product Lifecycle - PIM,,Medium,To Do,"5/02/2016 Geani: I didn't add this and I don't know how to retest this. It' doesn't reprodus on my side, or i don't test is correctely. 
09/03/2016 Geani: Who added this? It was makred ""To Test"". I don't know who te retest this"
Bug,Validation error goes out of error box.,Offerings Price list - Validation error goes out of error box.,,Offerings - PIM,,Medium,To Do,"PRICELISTTABSFORM:PRICELISTTABVIEWID:PRICELISTGENERALFORM:TYPE: VALIDATION ERROR: VALUE IS NOT VALID
PRICELISTTABSFORM:PRICELISTTABVIEWID:PRICELISTGENERALFORM:TYPE: VALIDATION ERROR: VALUE IS NOT VALID"
Bug,After some time (usuallty after being idle for 5 or so minutes) everything will stop working,"After some time (usuallty after being idle for 5 or so minutes) everything will stop working. To work again I need to refresh the page and log in again. then this error is displayed. After another refres everythig is working. 
This XML file does not appear to have any style information associated with it. The document tree is shown below.
<partial-response id=""j_id1"">
<error>
<error-name>class javax.faces.application.ViewExpiredException</error-name>
<error-message>
<![CDATA[
viewId:/pim/products/versionView/tabs/productTabs.xhtml - View /pim/products/versionView/tabs/productTabs.xhtml could not be restored.
]]>
</error-message>
</error>
</partial-response>",,Integration - PIM,,Medium,To Do,"ERROR [org.keycloak.adapters.RefreshableKeycloakSecurityContext] (default task-30) Refresh token failure status: 400 {""error_description"":""Refresh token expired"",""error"":""invalid_grant""}

08/02/2016 Geani: Reopen as the issue still occurs"
Bug,"After retiring a product, there should be an option to reaactivate the product.","Products - After retiring a product, there should be an option to reaactivate the product.
Note: ""Back to listing"" button is not working after the product is retired. 
Note2: No error is displayed in the logs",SAB-196,Product Lifecycle - PIM,,Medium,To Do,"08/02/2016 Geani: Can Not Test due to issue 55
22/02/2016 Geani : Reopen, issue still occurs"
Bug,Product variant creation doesn't work.,"Product variant creation doesn't work. Clicking ""create"" does nothing.

Later update: The variant is created in product list but no message is displayed at creation, and the ""related product"" list is not updated/remains empty. 
This issue can generate duplicate products.",SAB-209,Product Variants - PIM,,High,In Progress,"On logs, after this line 
SEVERE [javax.enterprise.resource.webcontainer.jsf.context] (default task-18) javax.faces.el.EvaluationException: javax.ejb.EJBException: java.lang.ClassCastException: java.lang.String cannot be cast to com.brandpath.pim.model.template.TemplateProductPropertyValue

lots of message appears"
Bug,The following warning is displayed in growl when product details page is loaded: The form component needs to have a UIForm in its ancestry. Suggestion: enclose the necessary components within <h:form>,"The following warning is displayed in growl when product details page is loaded:
The form component needs to have a UIForm in its ancestry. Suggestion: enclose the necessary components within <h:form>

",,Integration - PIM,,Medium,To Do,"Probably due to lack of standard html namespace declaration in the page header or missing <h:form> tag. Should not be solved by setting ""severity"" parameter on growl component"
Bug,Messaging service corrupted in PIM,Messaging service corrupted in PIM - list of recipients not being loaded.,,Services - PIM,,Medium,To Do,
Bug,The default currency can't be changed.,"After creating a price list, the default currency can't be changed.",,Offerings - PIM,,Low,To Do,24/02/2016 Geani : Can not retest due to issue 63
