label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,Latency
Country Select,200,OK,Thread Group 1-1,true,3,3,495
UK Page,200,OK,Thread Group 1-1,true,4,4,138
Country Select,200,OK,Thread Group 1-2,true,5,5,588
UK Page,200,OK,Thread Group 1-2,true,9,9,589
Country Select,200,OK,Thread Group 1-3,true,9,9,980
Honor 5X Details ,200,OK,Thread Group 1-1,true,9,9,83
Country Select,200,OK,Thread Group 1-4,true,9,9,850
AddToBasketPage,200,OK,Thread Group 1-1,true,10,10,82
UK Page,200,OK,Thread Group 1-3,true,10,10,208
Country Select,200,OK,Thread Group 1-8,true,11,11,460
Country Select,200,OK,Thread Group 1-7,true,11,11,444
UK Page,200,OK,Thread Group 1-4,true,11,11,113
Country Select,200,OK,Thread Group 1-5,true,11,11,1123
Honor 5X Details ,200,OK,Thread Group 1-2,true,11,11,193
Honor 5X Details ,200,OK,Thread Group 1-3,true,11,11,198
BasketPage,200,OK,Thread Group 1-1,true,12,12,252
UK Page,200,OK,Thread Group 1-8,true,12,12,110
AddToBasketPage,200,OK,Thread Group 1-2,true,12,12,96
UK Page,200,OK,Thread Group 1-5,true,12,12,151
UK Page,200,OK,Thread Group 1-7,true,12,12,161
Country Select,200,OK,Thread Group 1-9,true,12,12,649
Country Select,200,OK,Thread Group 1-6,true,12,12,653
AddToBasketPage,200,OK,Thread Group 1-3,true,12,12,79
Chekout-Auth,200,OK,Thread Group 1-1,true,13,13,64
Honor 5X Details ,200,OK,Thread Group 1-4,true,13,13,109
Country Select,200,OK,Thread Group 1-11,true,13,13,315
UK Page,200,OK,Thread Group 1-11,true,14,14,266
Country Select,200,OK,Thread Group 1-1,true,14,14,315
UK Page,200,OK,Thread Group 1-9,true,14,14,358
BasketPage,200,OK,Thread Group 1-2,true,14,14,64
UK Page,200,OK,Thread Group 1-6,true,14,14,354
Country Select,200,OK,Thread Group 1-10,true,14,14,858
Honor 5X Details ,200,OK,Thread Group 1-8,true,14,14,120
Honor 5X Details ,200,OK,Thread Group 1-5,true,15,15,379
AddToBasketPage,200,OK,Thread Group 1-4,true,15,15,268
Honor 5X Details ,200,OK,Thread Group 1-7,true,15,15,409
Country Select,200,OK,Thread Group 1-12,true,15,15,597
