timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1448546682754,715,HomePage,200,OK,Thread Group 1-1,text,true,9322,1,1,713
1448546683495,647,ListingPage,200,OK,Thread Group 1-1,text,true,10279,1,1,632
1448546684148,670,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,1,1,670
1448546684989,745,HomePage,200,OK,Thread Group 1-2,text,true,9322,2,2,745
1448546684822,1004,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,2,2,1002
1448546685744,549,ListingPage,200,OK,Thread Group 1-2,text,true,10279,2,2,540
1448546685834,472,HomePage,200,OK,Thread Group 1-1,text,true,9322,2,2,469
1448546686299,343,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,2,2,343
1448546686312,513,ListingPage,200,OK,Thread Group 1-1,text,true,10279,2,2,512
1448546686647,451,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,2,2,448
1448546686831,344,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,2,2,344
1448546687121,425,HomePage,200,OK,Thread Group 1-2,text,true,9322,2,2,425
1448546687182,441,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,2,2,439
1448546687641,416,HomePage,200,OK,Thread Group 1-1,text,true,9322,3,3,416
1448546687551,848,ListingPage,200,OK,Thread Group 1-2,text,true,10279,3,3,847
1448546687987,515,HomePage,200,OK,Thread Group 1-3,text,true,9322,3,3,513
1448546688063,634,ListingPage,200,OK,Thread Group 1-1,text,true,10279,3,3,628
1448546688403,379,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,3,3,379
1448546688702,330,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,3,3,330
1448546688508,677,ListingPage,200,OK,Thread Group 1-3,text,true,10279,3,3,676
1448546688786,494,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,3,3,491
1448546689036,411,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,3,3,409
1448546689189,346,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,3,3,346
1448546689307,404,HomePage,200,OK,Thread Group 1-2,text,true,9322,3,3,403
1448546689471,406,HomePage,200,OK,Thread Group 1-1,text,true,9322,3,3,404
1448546689539,458,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,3,3,457
1448546689715,486,ListingPage,200,OK,Thread Group 1-2,text,true,10279,3,3,485
1448546690020,470,HomePage,200,OK,Thread Group 1-3,text,true,9322,3,3,470
1448546689881,635,ListingPage,200,OK,Thread Group 1-1,text,true,10279,3,3,633
1448546690206,348,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,3,3,348
1448546690521,327,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,3,3,327
1448546690495,532,ListingPage,200,OK,Thread Group 1-3,text,true,10279,4,4,532
1448546690557,483,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,4,4,475
1448546690852,450,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,4,4,443
1448546691059,348,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,4,4,347
1448546691059,418,HomePage,200,OK,Thread Group 1-2,text,true,9322,4,4,417
1448546691031,535,HomePage,200,OK,Thread Group 1-4,text,true,9322,4,4,534
1448546691329,411,HomePage,200,OK,Thread Group 1-1,text,true,9322,4,4,410
1448546691411,696,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,4,4,691
1448546691481,915,ListingPage,200,OK,Thread Group 1-2,text,true,10279,4,4,914
1448546691570,911,ListingPage,200,OK,Thread Group 1-4,text,true,10279,4,4,908
1448546691743,1136,ListingPage,200,OK,Thread Group 1-1,text,true,10279,4,4,1128
1448546692134,913,HomePage,200,OK,Thread Group 1-3,text,true,9322,4,4,905
1448546692401,689,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,4,4,689
1448546692487,620,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,4,4,620
1448546692884,374,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,4,4,374
1448546693112,426,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,11947,4,4,424
1448546693094,523,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,4,4,502
1448546693051,575,ListingPage,200,OK,Thread Group 1-3,text,true,10279,4,4,574
1448546693261,423,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,4,4,418
1448546693564,406,HomePage,200,OK,Thread Group 1-4,text,true,9322,4,4,406
1448546693656,334,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,5,5,334
1448546693655,415,HomePage,200,OK,Thread Group 1-2,text,true,9322,5,5,412
1448546693704,411,HomePage,200,OK,Thread Group 1-1,text,true,9322,5,5,410
1448546693994,670,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,5,5,669
1448546693989,954,HomePage,200,OK,Thread Group 1-5,text,true,9322,5,5,953
1448546693975,988,ListingPage,200,OK,Thread Group 1-4,text,true,10279,5,5,984
1448546694074,1040,ListingPage,200,OK,Thread Group 1-2,text,true,10279,5,5,1037
1448546694128,994,ListingPage,200,OK,Thread Group 1-1,text,true,10279,5,5,993
1448546694698,859,HomePage,200,OK,Thread Group 1-3,text,true,9322,5,5,857
1448546694966,689,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,5,5,688
1448546695123,608,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,5,5,608
1448546695128,633,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,5,5,633
1448546694948,845,ListingPage,200,OK,Thread Group 1-5,text,true,10279,5,5,844
1448546695797,447,ListingFilterPAge,200,OK,Thread Group 1-5,text,true,1888,5,5,446
1448546695765,504,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,5,5,502
1448546695735,535,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,5,5,521
1448546695561,709,ListingPage,200,OK,Thread Group 1-3,text,true,10279,5,5,702
1448546695659,665,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,11947,5,5,605
1448546696304,331,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,5,5,331
1448546696248,461,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,11947,5,5,455
1448546696347,404,HomePage,200,OK,Thread Group 1-4,text,true,9322,5,5,403
1448546696304,456,HomePage,200,OK,Thread Group 1-1,text,true,9322,5,5,456
1448546696304,487,HomePage,200,OK,Thread Group 1-2,text,true,9322,5,5,482
1448546696641,418,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,6,6,417
1448546696744,469,HomePage,200,OK,Thread Group 1-5,text,true,9322,6,6,463
1448546696754,541,ListingPage,200,OK,Thread Group 1-4,text,true,10279,6,6,540
1448546696763,537,ListingPage,200,OK,Thread Group 1-1,text,true,10279,6,6,536
1448546696794,549,ListingPage,200,OK,Thread Group 1-2,text,true,10279,6,6,544
1448546696989,606,HomePage,200,OK,Thread Group 1-6,text,true,9322,6,6,594
1448546697088,546,HomePage,200,OK,Thread Group 1-3,text,true,9322,6,6,545
1448546697303,459,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,6,6,459
1448546697299,473,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,6,6,472
1448546697348,454,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,6,6,454
1448546697218,766,ListingPage,200,OK,Thread Group 1-5,text,true,10279,6,6,764
1448546697599,579,ListingPage,200,OK,Thread Group 1-6,text,true,10279,6,6,578
