timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1448546682754,715,HomePage,200,OK,Thread Group 1-1,text,true,,9322,1,1,713
1448546684989,745,HomePage,200,OK,Thread Group 1-2,text,true,,9322,2,2,745
1448546685834,472,HomePage,200,OK,Thread Group 1-1,text,true,,9322,2,2,469
1448546687121,425,HomePage,200,OK,Thread Group 1-2,text,true,,9322,2,2,425
1448546687641,416,HomePage,200,OK,Thread Group 1-1,text,true,,9322,3,3,416
1448546687987,515,HomePage,200,OK,Thread Group 1-3,text,true,,9322,3,3,513
1448546689307,404,HomePage,200,OK,Thread Group 1-2,text,true,,9322,3,3,403
1448546689471,406,HomePage,200,OK,Thread Group 1-1,text,true,,9322,3,3,404
1448546690020,470,HomePage,200,OK,Thread Group 1-3,text,true,,9322,3,3,470
1448546691059,418,HomePage,200,OK,Thread Group 1-2,text,true,,9322,4,4,417
1448546691031,535,HomePage,200,OK,Thread Group 1-4,text,true,,9322,4,4,534
1448546691329,411,HomePage,200,OK,Thread Group 1-1,text,true,,9322,4,4,410
1448546692134,913,HomePage,200,OK,Thread Group 1-3,text,true,,9322,4,4,905
1448546693564,406,HomePage,200,OK,Thread Group 1-4,text,true,,9322,4,4,406
1448546693655,415,HomePage,200,OK,Thread Group 1-2,text,true,,9322,5,5,412
1448546693704,411,HomePage,200,OK,Thread Group 1-1,text,true,,9322,5,5,410
1448546693989,954,HomePage,200,OK,Thread Group 1-5,text,true,,9322,5,5,953
1448546694698,859,HomePage,200,OK,Thread Group 1-3,text,true,,9322,5,5,857
1448546696347,404,HomePage,200,OK,Thread Group 1-4,text,true,,9322,5,5,403
1448546696304,456,HomePage,200,OK,Thread Group 1-1,text,true,,9322,5,5,456
1448546696304,487,HomePage,200,OK,Thread Group 1-2,text,true,,9322,5,5,482
1448546696744,469,HomePage,200,OK,Thread Group 1-5,text,true,,9322,6,6,463
1448546696989,606,HomePage,200,OK,Thread Group 1-6,text,true,,9322,6,6,594
1448546697088,546,HomePage,200,OK,Thread Group 1-3,text,true,,9322,6,6,545
1448546698335,486,HomePage,200,OK,Thread Group 1-1,text,true,,9322,6,6,485
1448546698335,483,HomePage,200,OK,Thread Group 1-4,text,true,,9322,6,6,483
1448546698338,520,HomePage,200,OK,Thread Group 1-2,text,true,,9322,6,6,516
1448546698824,530,HomePage,200,OK,Thread Group 1-5,text,true,,9322,6,6,529
1448546699087,453,HomePage,200,OK,Thread Group 1-3,text,true,,9322,6,6,452
1448546699090,485,HomePage,200,OK,Thread Group 1-6,text,true,,9322,6,6,483
1448546699989,617,HomePage,200,OK,Thread Group 1-7,text,true,,9322,7,7,605
1448546700297,512,HomePage,200,OK,Thread Group 1-2,text,true,,9322,7,7,496
1448546700296,521,HomePage,200,OK,Thread Group 1-4,text,true,,9322,7,7,510
1448546700513,439,HomePage,200,OK,Thread Group 1-1,text,true,,9322,7,7,435
1448546700885,477,HomePage,200,OK,Thread Group 1-5,text,true,,9322,7,7,475
1448546701027,480,HomePage,200,OK,Thread Group 1-3,text,true,,9322,7,7,479
1448546701201,424,HomePage,200,OK,Thread Group 1-6,text,true,,9322,7,7,423
1448546702338,702,HomePage,200,OK,Thread Group 1-7,text,true,,9322,8,8,701
1448546702502,1154,HomePage,200,OK,Thread Group 1-2,text,true,,9322,8,8,1149
1448546702991,766,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,765
1448546702905,870,HomePage,200,OK,Thread Group 1-4,text,true,,9322,8,8,869
1448546703491,530,HomePage,200,OK,Thread Group 1-1,text,true,,9322,8,8,529
1448546703673,596,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,582
1448546704079,756,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,755
1448546704721,1081,HomePage,200,OK,Thread Group 1-3,text,true,,9322,8,8,1080
1448546705480,744,HomePage,200,OK,Thread Group 1-7,text,true,,9322,9,9,743
1448546705992,839,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,838
1448546706471,626,HomePage,200,OK,Thread Group 1-2,text,true,,9322,8,8,622
1448546706598,516,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,515
1448546706679,541,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,541
1448546706734,504,HomePage,200,OK,Thread Group 1-4,text,true,,9322,8,8,499
1448546707095,498,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,497
1448546707658,444,HomePage,200,OK,Thread Group 1-3,text,true,,9322,8,8,440
1448546707829,494,HomePage,200,OK,Thread Group 1-7,text,true,,9322,8,8,492
1448546708432,510,HomePage,200,OK,Thread Group 1-9,text,true,,9322,7,7,510
1448546708799,470,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,469
1448546708828,589,HomePage,200,OK,Thread Group 1-4,text,true,,9322,8,8,589
1448546708910,545,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,544
1448546708992,585,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,584
1448546709199,523,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,520
1448546709691,483,HomePage,200,OK,Thread Group 1-3,text,true,,9322,8,8,482
1448546709969,525,HomePage,200,OK,Thread Group 1-7,text,true,,9322,8,8,522
1448546710356,493,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,492
1448546710978,522,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,461
1448546710949,577,HomePage,200,OK,Thread Group 1-4,text,true,,9322,8,8,576
1448546711055,482,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,481
1448546710983,739,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,685
1448546711284,480,HomePage,200,OK,Thread Group 1-6,text,true,,9322,7,7,475
1448546711993,1001,HomePage,200,OK,Thread Group 1-11,text,true,,9322,8,8,1000
1448546713014,478,HomePage,200,OK,Thread Group 1-7,text,true,,9322,8,8,477
1448546713288,517,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,517
1448546713672,460,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,459
1448546713708,498,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,497
1448546713781,479,HomePage,200,OK,Thread Group 1-4,text,true,,9322,8,8,470
1448546713789,484,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,481
1448546713761,530,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,526
1448546714769,938,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,931
1448546714996,887,HomePage,200,OK,Thread Group 1-12,text,true,,9322,9,9,886
1448546716011,544,HomePage,200,OK,Thread Group 1-7,text,true,,9322,9,9,544
1448546716035,585,HomePage,200,OK,Thread Group 1-9,text,true,,9322,9,9,584
1448546716609,534,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,533
1448546716609,572,HomePage,200,OK,Thread Group 1-5,text,true,,9322,8,8,571
1448546716611,575,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,575
1448546716612,590,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,587
1448546717572,523,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,522
1448546717664,470,HomePage,200,OK,Thread Group 1-12,text,true,,9322,9,9,469
1448546718000,577,HomePage,200,OK,Thread Group 1-13,text,true,,9322,9,9,576
1448546718093,634,HomePage,200,OK,Thread Group 1-7,text,true,,9322,9,9,633
1448546718206,606,HomePage,200,OK,Thread Group 1-9,text,true,,9322,9,9,601
1448546718648,592,HomePage,200,OK,Thread Group 1-6,text,true,,9322,8,8,592
1448546718737,515,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,513
1448546718735,532,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,531
1448546719724,471,HomePage,200,OK,Thread Group 1-11,text,true,,9322,8,8,470
1448546719789,497,HomePage,200,OK,Thread Group 1-12,text,true,,9322,8,8,495
1448546720115,526,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,526
1448546720260,491,HomePage,200,OK,Thread Group 1-9,text,true,,9322,7,7,488
1448546720306,512,HomePage,200,OK,Thread Group 1-7,text,true,,9322,7,7,511
1448546720744,508,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,501
1448546720909,480,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,474
1448546721000,450,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,441
1448546721666,897,HomePage,200,OK,Thread Group 1-11,text,true,,9322,8,8,890
1448546721813,837,HomePage,200,OK,Thread Group 1-12,text,true,,9322,8,8,837
1448546722373,813,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,812
1448546722605,694,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,692
1448546722604,735,HomePage,200,OK,Thread Group 1-7,text,true,,9322,8,8,733
1448546723346,474,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,472
1448546723453,510,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,509
1448546723662,468,HomePage,200,OK,Thread Group 1-14,text,true,,9322,9,9,466
1448546724002,870,HomePage,200,OK,Thread Group 1-15,text,true,,9322,9,9,870
1448546724679,960,HomePage,200,OK,Thread Group 1-12,text,true,,9322,9,9,960
1448546724667,985,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,985
1448546725629,617,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,616
1448546725594,671,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,670
1448546726066,496,HomePage,200,OK,Thread Group 1-8,text,true,,9322,8,8,491
1448546726284,491,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,483
1448546726368,454,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,453
1448546726999,555,HomePage,200,OK,Thread Group 1-16,text,true,,9322,9,9,555
1448546727075,482,HomePage,200,OK,Thread Group 1-15,text,true,,9322,9,9,481
1448546727226,472,HomePage,200,OK,Thread Group 1-12,text,true,,9322,9,9,471
1448546727391,513,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,512
1448546727641,510,HomePage,200,OK,Thread Group 1-9,text,true,,9322,8,8,509
1448546727725,449,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,448
1448546728302,590,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,590
1448546728344,572,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,571
1448546729226,506,HomePage,200,OK,Thread Group 1-15,text,true,,9322,8,8,503
1448546729172,574,HomePage,200,OK,Thread Group 1-12,text,true,,9322,8,8,573
1448546729227,571,HomePage,200,OK,Thread Group 1-16,text,true,,9322,8,8,566
1448546729998,498,HomePage,200,OK,Thread Group 1-17,text,true,,9322,8,8,498
1448546730267,477,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,476
1448546730306,462,HomePage,200,OK,Thread Group 1-11,text,true,,9322,8,8,461
1448546730803,478,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,467
1448546731046,429,HomePage,200,OK,Thread Group 1-10,text,true,,9322,8,8,428
1448546731163,413,HomePage,200,OK,Thread Group 1-15,text,true,,9322,8,8,411
1448546731202,442,HomePage,200,OK,Thread Group 1-12,text,true,,9322,8,8,441
1448546731291,414,HomePage,200,OK,Thread Group 1-16,text,true,,9322,8,8,413
1448546732018,893,HomePage,200,OK,Thread Group 1-17,text,true,,9322,8,8,892
1448546732790,557,HomePage,200,OK,Thread Group 1-13,text,true,,9322,9,9,552
1448546732771,607,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,606
1448546733000,553,HomePage,200,OK,Thread Group 1-18,text,true,,9322,9,9,552
1448546733314,288,HomePage,200,OK,Thread Group 1-14,text,false,"Test failed: text expected to contain /<a href=""/"">Online Cep Merkezi</a>/",20627,8,8,200
1448546733703,449,HomePage,200,OK,Thread Group 1-15,text,true,,9322,8,8,444
1448546733821,410,HomePage,200,OK,Thread Group 1-12,text,true,,9322,8,8,409
1448546733974,796,HomePage,200,OK,Thread Group 1-16,text,true,,9322,8,8,787
1448546734815,813,HomePage,200,OK,Thread Group 1-17,text,true,,9322,8,8,812
1448546735504,638,HomePage,200,OK,Thread Group 1-13,text,true,,9322,9,9,638
1448546735659,633,HomePage,200,OK,Thread Group 1-11,text,true,,9322,9,9,632
1448546736021,653,HomePage,200,OK,Thread Group 1-18,text,true,,9322,9,9,653
1448546736003,720,HomePage,200,OK,Thread Group 1-19,text,true,,9322,9,9,719
1448546736063,817,HomePage,200,OK,Thread Group 1-14,text,true,,9322,9,9,817
1448546736740,510,HomePage,200,OK,Thread Group 1-15,text,true,,9322,9,9,510
1448546737070,567,HomePage,200,OK,Thread Group 1-12,text,true,,9322,9,9,566
1448546737223,597,HomePage,200,OK,Thread Group 1-16,text,true,,9322,9,9,582
1448546737358,603,HomePage,200,OK,Thread Group 1-17,text,true,,9322,9,9,602
1448546738042,530,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,529
1448546738385,509,HomePage,200,OK,Thread Group 1-18,text,true,,9322,8,8,508
1448546738385,624,HomePage,200,OK,Thread Group 1-19,text,true,,9322,9,9,623
1448546738596,547,HomePage,200,OK,Thread Group 1-14,text,true,,9322,9,9,546
1448546739003,611,HomePage,200,OK,Thread Group 1-20,text,true,,9322,8,8,611
1448546739453,478,HomePage,200,OK,Thread Group 1-16,text,true,,9322,8,8,478
1448546739395,556,HomePage,200,OK,Thread Group 1-15,text,true,,9322,8,8,555
1448546739654,473,HomePage,200,OK,Thread Group 1-17,text,true,,9322,8,8,472
1448546740147,529,HomePage,200,OK,Thread Group 1-13,text,true,,9322,8,8,528
1448546740359,496,HomePage,200,OK,Thread Group 1-18,text,true,,9322,8,8,495
1448546740739,483,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,482
1448546740720,535,HomePage,200,OK,Thread Group 1-19,text,true,,9322,8,8,534
1448546741457,619,HomePage,200,OK,Thread Group 1-20,text,true,,9322,9,9,617
1448546741751,949,HomePage,200,OK,Thread Group 1-15,text,true,,9322,9,9,949
1448546741755,1022,HomePage,200,OK,Thread Group 1-17,text,true,,9322,9,9,1019
1448546741783,1018,HomePage,200,OK,Thread Group 1-16,text,true,,9322,8,8,1017
1448546742006,1056,HomePage,200,OK,Thread Group 1-21,text,true,,9322,8,8,1055
1448546742961,510,HomePage,200,OK,Thread Group 1-18,text,true,,9322,8,8,509
1448546743413,450,HomePage,200,OK,Thread Group 1-14,text,true,,9322,8,8,449
1448546743421,446,HomePage,200,OK,Thread Group 1-19,text,true,,9322,8,8,444
1448546744197,974,HomePage,200,OK,Thread Group 1-20,text,true,,9322,9,9,972
1448546744526,731,HomePage,200,OK,Thread Group 1-15,text,true,,9322,9,9,730
1448546744685,942,HomePage,200,OK,Thread Group 1-17,text,true,,9322,9,9,941
1448546744597,1041,HomePage,200,OK,Thread Group 1-16,text,true,,9322,9,9,1041
1448546744813,944,HomePage,200,OK,Thread Group 1-21,text,true,,9322,9,9,944
1448546745007,903,HomePage,200,OK,Thread Group 1-22,text,true,,9322,9,9,902
1448546745716,603,HomePage,200,OK,Thread Group 1-18,text,true,,9322,8,8,600
1448546746343,586,HomePage,200,OK,Thread Group 1-19,text,true,,9322,8,8,586
1448546747307,475,HomePage,200,OK,Thread Group 1-15,text,true,,9322,8,8,473
