timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1448546684822,1004,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,2,2,1002
1448546686647,451,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,2,2,448
1448546687182,441,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,2,2,439
1448546688786,494,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,3,3,491
1448546689036,411,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,3,3,409
1448546689539,458,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,3,3,457
1448546690557,483,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,4,4,475
1448546690852,450,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,4,4,443
1448546691411,696,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,4,4,691
1448546693112,426,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,4,4,424
1448546693094,523,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,4,4,502
1448546693261,423,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,4,4,418
1448546693994,670,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,5,5,669
1448546695765,504,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,5,5,502
1448546695735,535,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,5,5,521
1448546695659,665,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,5,5,605
1448546696248,461,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,5,5,455
1448546696641,418,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,6,6,417
1448546697775,496,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,6,6,495
1448546697765,519,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,6,6,511
1448546697807,467,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,6,6,464
1448546698339,451,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,6,6,448
1448546698622,415,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,6,6,413
1448546698590,459,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,6,6,453
1448546699801,455,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,7,7,455
1448546699788,485,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,7,7,484
1448546699919,564,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,7,7,552
1448546700246,618,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,7,7,591
1448546700551,447,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,7,7,430
1448546700690,482,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,7,7,473
1448546701565,741,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,7,7,739
1448546701880,589,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,,11947,7,7,585
1448546702184,694,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,7,7,681
1448546702152,1305,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,,11947,8,8,1302
1448546702654,994,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,8,8,993
1448546703135,836,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,8,8,830
1448546703587,1130,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,,11947,8,8,1120
1448546704578,898,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,8,8,896
