timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1448546683495,647,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,1,1,632
1448546685744,549,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,2,2,540
1448546686312,513,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,2,2,512
1448546687551,848,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,3,3,847
1448546688063,634,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,3,3,628
1448546688508,677,ListingPage,200,OK,Thread Group 1-3,text,true,,10279,3,3,676
1448546689715,486,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,3,3,485
1448546689881,635,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,3,3,633
1448546690495,532,ListingPage,200,OK,Thread Group 1-3,text,true,,10279,4,4,532
1448546691481,915,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,4,4,914
1448546691570,911,ListingPage,200,OK,Thread Group 1-4,text,true,,10279,4,4,908
1448546691743,1136,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,4,4,1128
1448546693051,575,ListingPage,200,OK,Thread Group 1-3,text,true,,10279,4,4,574
1448546693975,988,ListingPage,200,OK,Thread Group 1-4,text,true,,10279,5,5,984
1448546694074,1040,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,5,5,1037
1448546694128,994,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,5,5,993
1448546694948,845,ListingPage,200,OK,Thread Group 1-5,text,true,,10279,5,5,844
1448546695561,709,ListingPage,200,OK,Thread Group 1-3,text,true,,10279,5,5,702
1448546696754,541,ListingPage,200,OK,Thread Group 1-4,text,true,,10279,6,6,540
1448546696763,537,ListingPage,200,OK,Thread Group 1-1,text,true,,10279,6,6,536
1448546696794,549,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,6,6,544
1448546697218,766,ListingPage,200,OK,Thread Group 1-5,text,true,,10279,6,6,764
1448546697599,579,ListingPage,200,OK,Thread Group 1-6,text,true,,10279,6,6,578
1448546697638,592,ListingPage,200,OK,Thread Group 1-3,text,true,,10279,6,6,591
1448546698861,573,ListingPage,200,OK,Thread Group 1-2,text,true,,10279,6,6,570
